Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=c0ed7df2bb82f9c6f8fa4ee1c1f14d13&SERIES_KEY=42.FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.U2.EUR.BL.SO.EESWE2_BGN.HST
,"Euro area (changing composition) - Overnight interest rate swaps - EUR Overnight Index Swap (ESTR) 2Y - Historical close - Euro, provided by Bloomberg Finance L.P."
Collection:,End of period (E)
Period\Unit:,[Percent per annum ]
,,obs. status,obs. confidentiality,obs. comment
2026-04-23,2.4870000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-22,2.4690000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-21,2.4380000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-20,2.3630000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-17,2.2927500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-16,2.4406500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-15,2.4462500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-14,2.4360000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-13,2.5269000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-10,2.5083500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-09,2.4290000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-08,2.4110000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-07,2.6300000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-02,2.5450000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-04-01,2.5220000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-31,2.5064500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-30,2.5580000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-27,2.6275000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-26,2.6660000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-25,2.5500000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-24,2.6370000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-23,2.5010000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-20,2.6060000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-19,2.5070000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-18,2.3560000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-17,2.2940000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-16,2.2918500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-13,2.3740000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-12,2.3627000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-11,2.2970000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-10,2.1650000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-09,2.2723000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-06,2.2210000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-05,2.1170000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-04,2.0280000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-03,2.0470000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-03-02,1.9830000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-27,1.8913000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-26,1.9280000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-25,1.9310000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-24,1.9320000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-23,1.9253000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-20,1.9370000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-19,1.9330000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-18,1.9276500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-17,1.9245500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-16,1.9230000,Normal value (A),Not for publication, restricted for internal use only (N),~
2026-02-13,1.9280000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-12,1.9390000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-11,1.9520000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-10,1.9500000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-09,1.9501500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-06,1.9670000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-05,1.9709500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-04,1.9720000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-03,1.9900000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-02-02,1.9874000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-30,1.9650000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-29,1.9610000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-28,1.9783500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-27,1.9960000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-26,2.0051500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-23,2.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-22,2.0090000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-21,1.9986500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-20,1.9700000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-19,1.9885000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-16,2.0100000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-15,2.0002500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-14,1.9811500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-13,1.9908000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-12,1.9916500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-09,2.0071500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-08,1.9897500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-07,1.9810000,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-06,1.9961500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-05,2.0236500,Normal value (A),Not for publication, restricted for internal use only (N),
2026-01-02,2.0288500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-31,2.0166000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-30,2.0135500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-29,2.0090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-24,2.0323500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-23,2.0330000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-22,2.0380000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-19,2.0440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-18,2.0268000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-17,2.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-16,2.0241000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-15,2.0370000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-12,2.0400000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-11,2.0450000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-10,2.0448000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-09,2.0420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-08,2.0410000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-05,1.9810000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-04,1.9520000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-03,1.9400000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-02,1.9390000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-12-01,1.9490000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-28,1.9240000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-27,1.9180000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-26,1.9100000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-25,1.9080000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-24,1.9110000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-21,1.9120000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-20,1.9244000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-19,1.9294000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-18,1.9320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-17,1.9470000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-14,1.9420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-13,1.9295000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-12,1.9070000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-11,1.9045000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-10,1.9050000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-07,1.8950000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-06,1.8980000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-05,1.9060000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-04,1.8960000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-11-03,1.9070000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-31,1.8837500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-30,1.8930000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-29,1.8821500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-28,1.8822500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-27,1.8790000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-24,1.8770000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-23,1.8430000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-22,1.8250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-21,1.8210000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-20,1.8250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-17,1.8239500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-16,1.8090500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-15,1.8360000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-14,1.8410000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-13,1.8520000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-10,1.8653500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-09,1.8990000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-08,1.8920000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-07,1.9104500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-06,1.9125000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-03,1.9187500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-02,1.9080500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-10-01,1.9167500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-30,1.9230000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-29,1.9250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-26,1.9310000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-25,1.9387500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-24,1.9197500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-23,1.9190000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-22,1.9064500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-19,1.9127500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-18,1.9040000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-17,1.9011000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-16,1.8955000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-15,1.9050000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-12,1.9014500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-11,1.8844500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-10,1.8457000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-09,1.8385500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-08,1.8260000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-05,1.8300000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-04,1.8540000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-03,1.8461500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-02,1.8630000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-09-01,1.8443000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-29,1.8305000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-28,1.8340000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-27,1.8220000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-26,1.8420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-25,1.8640000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-22,1.8470000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-21,1.8662000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-20,1.8272000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-19,1.8467000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-18,1.8530000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-15,1.8650000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-14,1.8415000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-13,1.8320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-12,1.8605000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-11,1.8520000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-08,1.8508000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-07,1.8210000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-06,1.8196000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-05,1.8020000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-04,1.8040000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-08-01,1.8215000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-31,1.8644000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-30,1.8460000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-29,1.8310000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-28,1.8138000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-25,1.8412000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-24,1.8240000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-23,1.7755000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-22,1.7260000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-21,1.7310000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-18,1.7570000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-17,1.7655500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-16,1.7482500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-15,1.7780000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-14,1.7869500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-11,1.8090000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-10,1.7920000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-09,1.7637500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-08,1.7780000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-07,1.7440000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-04,1.7320000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-03,1.7557500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-02,1.7751500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-07-01,1.7585500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-30,1.7740000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-27,1.7697500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-26,1.7420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-25,1.7580500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-24,1.7610500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-23,1.7597500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-20,1.7685000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-19,1.7639000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-18,1.7567500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-17,1.7737500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-16,1.7639000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-13,1.7645500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-12,1.7300000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-11,1.7539500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-10,1.7607500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-09,1.7730000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-06,1.7841500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-05,1.7810000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-04,1.7011500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-03,1.6875500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-06-02,1.7040000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-30,1.6987000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-29,1.6954500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-28,1.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-27,1.7101500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-26,1.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-23,1.7167500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-22,1.7515000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-21,1.7870500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-20,1.7600000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-19,1.7673500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-16,1.7779500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-15,1.7917500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-14,1.8561500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-13,1.8420000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-12,1.8417500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-09,1.7150000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-08,1.7139000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-07,1.6600000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-06,1.6834500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-05,1.6982500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-05-02,1.7158000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-30,1.6473500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-29,1.6885500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-28,1.6857500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-25,1.6720000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-24,1.6520000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-23,1.7030000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-22,1.6305500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-17,1.6715000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-16,1.7277500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-15,1.7390000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-14,1.7312500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-11,1.7922500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-10,1.7634000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-09,1.7450000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-08,1.7582500,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-07,1.7800000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-04,1.7911000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-03,1.8696000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-02,1.9450000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-04-01,1.9328000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-31,1.9630000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-28,1.9369000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-27,1.9790000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-26,1.9995000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-25,2.0400000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-24,2.0250000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-21,2.0285000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-20,2.0648000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-19,2.0690000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-18,2.0710000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-17,2.0938000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-14,2.0855000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-13,2.0775000,Normal value (A),Not for publication, restricted for internal use only (N),
2025-03-12,2.1133000,Normal value (A),Not for publication, restricted for internal use only (N),
