lei,name,strategy_manual,evidence_tier,source
2QER7Q2QN5HQI0QENU13,"Point72 Associates, LLC",Multi-strategy platform,manager website; platform flagship,"point72.com: 'deploys fundamental equities, systematic, macro, private credit, and venture capital strategies'; accessed 2026-08-26"
549300J1TRHZGH00QZ63,"POINT72 LONDON INVESTMENTS, LTD.",Multi-strategy platform,manager website,point72.com (see Point72 Associates); accessed 2026-08-26
549300IBV3NEODVFBB96,EISLER CAPITAL MASTER FUND LTD,Multi-strategy platform,manager website/encyclopedia,"eislercapital.com title: 'Multi-Strategy Investment Firm'; Wikipedia: founded as macro, multi-manager since 2021; accessed 2026-08-26"
549300TI6LLQ2EXI0I03,"MKP ALPHA PORT, LTD.",Global macro,manager website; single-program manager,mkpcap.com: 'uncorrelated global macro strategy... absolute returns'; accessed 2026-08-26
0IEAUKWE2SFAUO4V1D62,"MKP ENHANCED OPPORTUNITY MASTER FUND, LTD.",Global macro,manager website,mkpcap.com (as above); accessed 2026-08-26
4LQMU9Z0AIC4ULRJDR78,"MKP OPPORTUNITY MASTER FUND, LTD.",Global macro,manager website,mkpcap.com (as above); accessed 2026-08-26
549300TQIXFPOGUBPQ62,"MKP Everwood Fund, Ltd.",Global macro,manager website,mkpcap.com (as above); accessed 2026-08-26
YSGYVERBS8JR1P1FNU59,HUDSON BAY MASTER FUND LTD.,Multi-strategy platform,database; adviser 7B1-verified,Hudson Bay Capital: multi-strategy manager (Preqin; hudsonbaycapital.com); accessed 2026-08-26
FEJVAWZKM2TUOXDMG690,HBK MASTER FUND L.P.,Multi-strategy platform,database; adviser 7B1-verified,"Preqin 11717: HBK 'multi-strategy approach across... corporate credit, developed and EM fixed income, event-driven equities, structured credit, volatility'; accessed 2026-08-26"
AO0PGGBJM7BRF42NY258,"SCULPTOR MASTER FUND, LTD.",Multi-strategy platform,manager website; platform flagship,sculptor.com strategy pillars (multi-strategy/credit/real estate); flagship master fund; accessed 2026-08-26
549300G222CS2JJB6C31,LMR CCSA Master Fund Limited,Multi-strategy platform,manager website; platform rule,lmrpartners.com: 'global multi-strategy investment platform'; accessed 2026-08-26
LB8MUZDVKPQ7KYQ24Q87,NAPIER PARK ETON FUND LTD,Credit,manager website; single-focus manager,napierparkglobal.com: leadership 'dedicated their careers to Global Credit Markets'; alternative credit manager; accessed 2026-08-26
04L0CECKGPV6MIVEH709,"DISCOVERY GLOBAL OPPORTUNITY MASTER FUND, LTD.",Global macro,manager website,discoverycapitalmanagement.com: 'Global Macro Hedge Fund'; accessed 2026-08-26
549300FBQCXRUQXA7A12,QUANTEDGE GLOBAL FUND,Global macro,manager website; fund named in site title,quantedge.com: 'Systematic Quantitative Global Macro Investment Fund'; accessed 2026-08-26
CZY82BQ8KR2FQON3XB68,AQR GRP EL 20 MASTER ACCOUNT LTD.,Systematic / quant,manager website; adviser 7B1-verified,aqr.com: 'As quantitative investors... systematic and disciplined approach'; GRP = Global Risk Premium program; accessed 2026-08-26
549300UVPZ2C1V7B7I49,AQR GLOBAL RISK PREMIUM MASTER ACCOUNT II LTD.,Systematic / quant,manager website,aqr.com (as above); accessed 2026-08-26
549300NZYOTKFY24BB53,AQR GRPT EL Master Account Ltd.,Systematic / quant,manager website,aqr.com (as above); accessed 2026-08-26
549300H7LZXRR4ME6270,Kedalion Fund LP,Fixed income / rates RV,press; adviser 7B1-verified,"Hedgeweek: Kedalion 'launched as a relative value-focused fund' (ex-LMR PM, Millennium-backed; gross $53bn vs $1.6bn AUM); accessed 2026-08-26"
549300YKL1MDW51X6P80,ELAN MASTER FUND LTD.,Fixed income / rates RV,database; adviser 7B1-verified,"Preqin 280403: Elan Capital Management 'focuses on fixed income, market neutral strategies, and relative value trading'; accessed 2026-08-26"
355B8XDD5Q5VPP8NJF42,"JJJ Master Fund, Ltd.",Global macro,press; adviser 7B1-verified,Bloomberg 2024-12-19/Hedgeweek: JJJ Capital (ex-Moore traders) 'specializes in discretionary global macro'; accessed 2026-08-26
254900D33TBU3WASUT96,Welwing Master Fund,Fixed income,manager website; adviser 7B1-verified,welwingcapital.com: 'Uncorrelated Specialist in Global Fixed Income'; accessed 2026-08-26
549300W2XUHLYUK0XD14,BYBROOK CAPITAL MASTER FUND LP,Credit,official corporate press release,mediobanca.com press releases: 'distressed credit specialist Bybrook Capital'; accessed 2026-08-26
549300Y3PT2YEHXVTK27,BYBROOK CAPITAL BADMINTON FUND LP,Credit,official corporate press release,as Bybrook Master; accessed 2026-08-26
549300X5SK1DKORKUJ95,BYBROOK CAPITAL BADMINTON 405 FUND LP,Credit,official corporate press release,as Bybrook Master; accessed 2026-08-26
5493003SGBZI2GB3GW74,BYBROOK CAPITAL HAZELTON MASTER FUND LP,Credit,official corporate press release,as Bybrook Master; accessed 2026-08-26
X96O961GGN50PJF86R45,Obsidian Master Series Trust - The Obsidian Master Fund,Fixed income,press,"Crain's New York Business (BlackRock hedge funds): 'flagship global fixed-income fund, called Obsidian'; accessed 2026-08-26"
VNL6C0FFFJGXC1Y5SS53,ALPHADYNE INTERNATIONAL (ERISA) MASTER FUND LTD.,Fixed income / rates RV,sibling program; adviser of siblings 7B1-verified,"Same single-program manager (Alphadyne Asset Management, CRD 154176) as Alphadyne Global Rates Master Fund; ERISA parallel vehicle; accessed 2026-08-26"
YK1PIQIELCY1K3NRCN29,PIMCO ABSOLUTE RETURN STRATEGY 3D OFFSHORE FUND LTD.,Fixed income,program documentation; adviser 7B1-verified,PIMCO Absolute Return Strategy (ARS) = PIMCO's absolute return fixed income program (institutional documentation); accessed 2026-08-26
549300OBVCWNZJXN8219,PIMCO ABSOLUTE RETURN STRATEGY 3E MASTER FUND LDC,Fixed income,program documentation,as ARS 3D; accessed 2026-08-26
549300N4NAUIQG81FI10,PIMCO ABSOLUTE RETURN STRATEGY IV MASTER FUND LDC,Fixed income,program documentation,as ARS 3D; accessed 2026-08-26
54930084QDBXW3S5UL45,PIMCO Absolute Return Strategy 3 Master Fund LDC,Fixed income,program documentation,as ARS 3D; accessed 2026-08-26
S2RMK0GCHTYG6NG1X386,PIMCO Absolute Return Strategy IV eFund,Fixed income,program documentation,as ARS 3D; accessed 2026-08-26
S7FG4ITZOFQTY8NO3222,PIMCO Global Cross-asset Opportunities Master Fund LDC,Global macro,name+program,PIMCO cross-asset macro opportunities program; accessed 2026-08-26
549300N35563VJ154B85,PAGOSA STRATEGIES (CAYMAN) SPC,Multi-strategy platform,official fund page; adviser 7B1-verified,Schroder GAIA Wellington Pagosa (absolutehedge.com/Kepler): 'multi-asset class multi-strategy portfolio... across Wellington's alternatives platform'; accessed 2026-08-26
549300W4URRQYRTK5329,"Wellington Pagosa Fund (Cayman) II, Ltd.",Multi-strategy platform,official fund page; adviser 7B1-verified,as Pagosa Strategies; accessed 2026-08-26
549300NFUQNQSETLCP08,RHINEGOLD LTD.,Global macro,regulatory link + press,Listed in Haidar Capital Management ADV 7.B.(1) (CRD 159798) alongside Haidar Jupiter Fund; Haidar = leveraged global macro (press); accessed 2026-08-26
54930046YB51WZEP4H43,AHL Genesis 2 Limited,Systematic / quant,manager website + regulatory link,"Fund listed in ADV of CRD 167882 (Man/AHL); man.com/ahl: 'researchers, developers and traders of systematic investment strategies'; accessed 2026-08-26"
ATU1U5G0QM0FYBWUKQ21,FFI FUND LTD.,Fixed income / rates RV,regulatory link + manager self-description,Funds listed in Bracebridge Capital ADV 7.B.(1) (CRD 158343); firm's own description (bracebridgecapital.com / LinkedIn): 'investment strategies primarily within the global fixed income markets with the objectives of capital preservation and absolute return'; single-program manager (fixed income relative value); accessed 2026-08-26
C5FXQISSALYEDTGUN553,FYI LTD.,Fixed income / rates RV,regulatory link + manager self-description,Funds listed in Bracebridge Capital ADV 7.B.(1) (CRD 158343); firm's own description (bracebridgecapital.com / LinkedIn): 'investment strategies primarily within the global fixed income markets with the objectives of capital preservation and absolute return'; single-program manager (fixed income relative value); accessed 2026-08-26
QU3O73UKQUZ4QNOR2695,"Olifant Fund, Ltd.",Fixed income / rates RV,regulatory link + manager self-description,Funds listed in Bracebridge Capital ADV 7.B.(1) (CRD 158343); firm's own description (bracebridgecapital.com / LinkedIn): 'investment strategies primarily within the global fixed income markets with the objectives of capital preservation and absolute return'; single-program manager (fixed income relative value); accessed 2026-08-26
