lei,name
355B8XDD5Q5VPP8NJF42,"JJJ Master Fund, Ltd."
S7FG4ITZOFQTY8NO3222,PIMCO Global Cross-asset Opportunities Master Fund LDC
5493003SFR2BC2B8IQ11,1907 III FUND LTD
9GNXSUPK06HDUPJOBL73,CITADEL EQUITY FUND LTD.
6J2JQ7QII5TFTUNS3N73,"BRIDGEWATER ALL WEATHER PLUS FUND, LTD."
549300X1HSEZYE4VM728,"PGIM FIXED INCOME GLOBAL LIQUIDITY RELATIVE VALUE MASTER FUND II, LTD."
549300UULOX6ZMJYFM72,Boothbay Diversified Alpha Master Fund LP
ZRTB6JE4U5UEXI9H9651,"PHARO GAIA FUND, LTD."
25490094V03V0ZN2K667,"BWTA Trading Fund II (Alpha), LP"
549300VGVF1TZTDFIN83,Deltroit Directional Opportunities Master Fund Limited
549300RR3UE7G3JASI61,"BRIDGEWATER ALL WEATHER PORTFOLIO TRADING II at 15%, LTD."
549300HD504TOKHT5737,"BRIDGEWATER PURE ALPHA FUND III, LTD."
549300URH5XCNOLL1P33,"EWP PA FUND, LTD."
549300Z6OSSJNEQYS249,III ALPHA CAPTURE FUND LTD.
YSGYVERBS8JR1P1FNU59,HUDSON BAY MASTER FUND LTD.
5493009RNRHHJBQ7B329,"BRIDGEWATER OPTIMAL PORTFOLIO II, LTD."
549300DRNFYJM607RV44,"BWTA TRADING FUND I, LTD."
213800NY2UCQHGH5U821,BLUECOVE EQUINOX CREDIT MASTER FUND LIMITED
5493004HLMKQKE86YI42,"Bridgewater Optimal Portfolio Trading Company, Ltd."
54930084QDBXW3S5UL45,PIMCO Absolute Return Strategy 3 Master Fund LDC
549300ENXSPHS8YMM795,"EP TACTICAL PORTFOLIOS, L.P."
549300TU7AH1F9SWQM87,"BW DMO FUND, LTD."
549300TI6LLQ2EXI0I03,"MKP ALPHA PORT, LTD."
CZY82BQ8KR2FQON3XB68,AQR GRP EL 20 MASTER ACCOUNT LTD.
VNJ8RJHOFC10GMT1NH50,"Bridgewater Pure Alpha Sterling Fund, Ltd."
5493004R2EUSSAU2QO74,Biwa Fund Limited
549300Y3PT2YEHXVTK27,BYBROOK CAPITAL BADMINTON FUND LP
549300KK2W5JO47FFL68,COMPLUS ASIA MACRO MASTER FUND LTD
549300LA8IWXGVEU4R46,Asgard Fixed Income (Master) Fund Limited
549300BL4E5T6IAH4I39,"Global Liquidity Relative Value LV Master Segregated Portfolio (a segregated portfolio of PGIM Fixed Income Alternatives Master Fund, SPC Ltd.)"
549300OBVCWNZJXN8219,PIMCO ABSOLUTE RETURN STRATEGY 3E MASTER FUND LDC
549300FG738XQ4TZ2202,Maniyar Trading I L.P.
0IEAUKWE2SFAUO4V1D62,"MKP ENHANCED OPPORTUNITY MASTER FUND, LTD."
5493005NW2GSJSPI8Y96,SYSTEMATICA MACRO RV MASTER FUND LIMITED
ZE57KGR7QV2RTMH9ZQ70,"All Weather@15% Trading, Ltd."
04L0CECKGPV6MIVEH709,"DISCOVERY GLOBAL OPPORTUNITY MASTER FUND, LTD."
4LQMU9Z0AIC4ULRJDR78,"MKP OPPORTUNITY MASTER FUND, LTD."
5493003SGBZI2GB3GW74,BYBROOK CAPITAL HAZELTON MASTER FUND LP
54930046YB51WZEP4H43,AHL Genesis 2 Limited
1YTX3EVB2EG3PFFYOI09,"ELLIOTT INTERNATIONAL, L.P."
549300G222CS2JJB6C31,LMR CCSA Master Fund Limited
549300VEUVPVNV7KGO31,"Global Liquidity Relative Value III Master Segregated Portfolio (a segregated portfolio of PGIM Fixed Income Alternatives Master Fund, SPC Ltd.)"
K9MS6FZBQYYEK0SVP138,"Bridgewater Pure Alpha Major Markets Trading Company II, Ltd."
LB8MUZDVKPQ7KYQ24Q87,NAPIER PARK ETON FUND LTD
549300N35563VJ154B85,PAGOSA STRATEGIES (CAYMAN) SPC
DEWSBW983WGK4YN1YF44,WELLINGTON GLOBAL AGGREGATE NON YEN BOND FUND
B11UEBIX2UVZDH5M6Y72,"BRIDGEWATER ALL WEATHER PORTFOLIO III, LTD."
549300UVPZ2C1V7B7I49,AQR GLOBAL RISK PREMIUM MASTER ACCOUNT II LTD.
549300L4CGZ36VVG0R11,"BRIDGEWATER OPTIMAL PORTFOLIO at 12% TRADING COMPANY, LTD."
549300W2XUHLYUK0XD14,BYBROOK CAPITAL MASTER FUND LP
549300RFE2VVP4UMDH24,MAN Desertwood Fund Limited
254900USOBTN0G3G9321,"BWTA Trading Fund II, LP"
549300SLY5F6US7E3R89,Inflation Linked Bonds Series Trust
RGWRP0VUTIJC0F05QR37,"Bridgewater All Weather Sterling Fund, Ltd."
78Z5F5QMM6ECUTQIWS56,"BRIDGEWATER ALL WEATHER PORTFOLIO TRADING II, LTD."
17N4N85FF60DOHLS5651,"Bridgewater Pure Alpha Euro Fund, Ltd."
254900YDHRIVFROLV916,Man 1783 I SP
549300NZYOTKFY24BB53,AQR GRPT EL Master Account Ltd.
5493001L25BPKB0NFU26,CQS ABS Master Fund Limited
Y2FIX1GFGO8ZIXX3SZ40,PIMCO Cayman Trust - PIMCO Cayman European High Yield Fund
549300HQ4KT8XG70Z864,POLAR MULTI-STRATEGY MASTER FUND
PUPGOAF01KZNJXOMP054,"PHARO TRADING FUND, LTD."
MLL66HH4HR1YGSKD5Z20,"BRIDGEWATER PURE ALPHA MAJOR MARKETS TRADING COMPANY, LTD."
5493008XHIVHG3R4AX30,Complus Asia Macro JPY Fund
AO0PGGBJM7BRF42NY258,"SCULPTOR MASTER FUND, LTD."
HQI43A477RM1PMUJ4V11,WELLINGTON GLOBAL AGGREGATE BOND EX-JAPAN FUND
549300X5SK1DKORKUJ95,BYBROOK CAPITAL BADMINTON 405 FUND LP
GE6E2UZJ8O6MJCXR3F13,"BTG Pactual Global Rates Master Fund, L.P."
5493001MKSWMF8I9E575,"BRIDGEWATER PURE ALPHA MAJOR MARKETS FUND III, LTD."
UHQI4OJBR63PAUD8T341,BRIDGEWATER ALL WEATHER EURO FUND LIMITED
549300Y05X2C8PPZCR46,THE EMERGING MARKET CREDIT ALPHA (MASTER) FUND LIMITED
5493008KE2OLRJ5UGN45,THE SEGANTII ASIA-PACIFIC EQUITY MULTI-STRATEGY FUND
549300FLV2U4FOQEKX17,III CONVEX STRATEGIES HUB FUND LTD.
MR9HL6DO83030NH5MT44,"SCULPTOR CREDIT OPPORTUNITIES MASTER FUND, LTD."
4VGVLJTJM0NG6BIJUW95,"PIMCO CAYMAN COMMODITY FUND VII, LTD."
213800NNIVRGVLG4L903,BLUECOVE SOLSTICE RELATIVE VALUE MASTER FUND LIMITED
5493008V9MY6PJ5Z0J75,"BRIDGEWATER ALL WEATHER PORTFOLIO IV, LTD."
5KBNCBE68BBJ7P62SG10,PIMCO Cayman Trust - PIMCO Cayman Global Advantage Government Ex-Japan Bond Fund
549300XBW87GKKDSX320,Wellington Master Emerging Alternatives Fund (Cayman) L.P.
549300QSDDQFGA14BJ61,Squarepoint Atlas Master Fund Limited
E1IQQJ7N5OFXQQL5KK53,"BRIDGEWATER PURE ALPHA MAJOR MARKETS STERLING FUND, LTD."
