Data Source in SDW: https://sdw.ecb.de/quickview.do?org.apache.struts.taglib.html.TOKEN=ed67f455f89ad55f96bd96b8afb76bc8&SERIES_KEY=42.FM.B.U2.EUR.BL.EI.SX5E.HST&start=01-01-2021&end=&snapshot=&submitOptions.x=0&submitOptions.y=0&trans=N
,FM.B.U2.EUR.BL.EI.SX5E.HST
,"Euro area (changing composition) - Equity/index - EURO STOXX 50 Price EUR Index - Historical close - Euro, provided by Bloomberg Finance L.P."
Collection:,End of period (E)
Period\Unit:,[Points ]
,,obs. status,obs. confidentiality,obs. comment
2026-04-27,5860.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-24,5883.4800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-23,5894.7300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-22,5906.2200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-21,5930.2500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-20,5982.6300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-17,6057.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-16,5933.2800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-15,5940.3400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-14,5984.5100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-13,5905.0200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-10,5926.1100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-09,5896.2900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-08,5913.3700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-07,5633.2200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-02,5692.8600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-04-01,5732.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-31,5569.7300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-30,5541.7900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-27,5505.8000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-26,5565.9300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-25,5649.3300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-24,5581.2900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-23,5574.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-20,5501.2800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-19,5613.8300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-18,5736.8500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-17,5769.2500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-16,5739.0100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-13,5716.6100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-12,5748.8900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-11,5794.6800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-10,5837.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-09,5685.2000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-06,5719.9000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-05,5782.8900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-04,5870.9200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-03,5771.7300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-03-02,5986.9300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-27,6138.4100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-26,6161.5600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-25,6173.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-24,6116.6000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-23,6113.9200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-20,6131.3100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-19,6059.6200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-18,6103.3700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-17,6021.8500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-16,5978.8800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-13,5985.2300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-12,6011.2900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-11,6035.6400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-10,6047.0600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-09,6059.0100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-06,5998.4000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-05,5925.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-04,5970.4700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-03,5995.3500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-02-02,6007.5100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-30,5947.8100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-29,5891.9500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-28,5933.2000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-27,5994.5900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-26,5957.8000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-23,5948.2000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-22,5956.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-21,5882.8800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-20,5892.0800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-19,5925.8200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-16,6029.4500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-15,6041.1400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-14,6005.0500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-13,6029.8300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-12,6016.3000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-09,5997.4700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-08,5904.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-07,5923.5700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-06,5931.7900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-05,5923.6900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2026-01-02,5850.3800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-31,5791.4100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-30,5796.2200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-29,5751.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-24,5746.2400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-23,5749.2800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-22,5743.6900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-19,5760.3500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-18,5741.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-17,5681.6700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-16,5717.8300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-15,5752.5200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-12,5720.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-11,5753.9600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-10,5708.1200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-09,5718.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-08,5725.5900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-05,5723.9300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-04,5718.0800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-03,5694.5600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-02,5686.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-12-01,5667.4800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-28,5668.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-27,5653.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-26,5655.5800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-25,5573.9100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-24,5528.6700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-21,5515.0900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-20,5569.9200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-19,5542.0500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-18,5534.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-17,5640.9400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-14,5693.7700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-13,5742.7900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-12,5787.3100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-11,5725.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-10,5664.4600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-07,5566.5300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-06,5611.1800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-05,5669.1300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-04,5660.2000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-11-03,5679.2500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-31,5662.0400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-30,5699.1800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-29,5705.8100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-28,5704.3500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-27,5711.0600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-24,5674.5000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-23,5668.3300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-22,5639.2100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-21,5686.8300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-20,5680.9300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-17,5607.3900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-16,5652.0100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-15,5605.0300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-14,5552.0500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-13,5568.1900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-10,5531.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-09,5625.5600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-08,5649.7300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-07,5613.6200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-06,5628.7200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-03,5651.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-02,5645.8100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-10-01,5581.2100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-30,5529.9600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-29,5506.8500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-26,5499.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-25,5444.8900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-24,5464.5600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-23,5472.3900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-22,5442.0500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-19,5458.4200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-18,5456.6700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-17,5369.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-16,5372.3100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-15,5440.4000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-12,5390.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-11,5386.7700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-10,5361.4700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-09,5368.8200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-08,5362.8100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-05,5318.1500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-04,5346.7100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-03,5325.0100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-02,5291.0400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-09-01,5367.0800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-29,5351.7300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-28,5396.7300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-27,5393.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-26,5383.6800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-25,5443.9600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-22,5488.2300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-21,5462.1600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-20,5472.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-19,5483.2800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-18,5434.6400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-15,5448.6100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-14,5434.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-13,5388.2500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-12,5335.9700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-11,5331.8500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-08,5347.7400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-07,5332.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-06,5263.2900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-05,5249.5900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-04,5242.3200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-08-01,5165.6000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-31,5319.9200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-30,5393.1800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-29,5379.2000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-28,5337.5800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-25,5352.1600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-24,5355.2000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-23,5344.2500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-22,5290.4800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-21,5342.9800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-18,5359.2300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-17,5377.1500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-16,5298.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-15,5354.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-14,5370.8500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-11,5383.4800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-10,5438.2700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-09,5445.6500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-08,5371.9500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-07,5341.5400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-04,5288.8100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-03,5343.1500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-02,5318.7200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-07-01,5282.4300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-30,5303.2400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-27,5325.6400000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-26,5244.0300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-25,5252.0100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-24,5297.0700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-23,5221.9000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-20,5233.5800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-19,5197.0300000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-18,5266.9100000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-17,5288.6800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-16,5339.5700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-13,5290.4700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-12,5360.8200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-11,5393.1500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-10,5415.3800000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-09,5421.5200000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-06,5430.1700000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-05,5410.5500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-04,5405.1500000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-03,5375.7000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-06-02,5355.5600000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-05-30,5366.5900000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
2025-05-29,5371.1000000,Normal value (A),Not for publication, restricted for internal use only (N),EU0009658145
